"userId","ageGroup","originCountry","fitnessLevel","groupType","preferredTerrain","preferredMood","preferredDifficulty","travelStyle","avoidCrowds","preferredSeason","avoidedHotspot","recommendedDestination","selectedDestination","completedTrail","trailDurationHours","elevationPreference","weatherSensitivity","biodiversityInterest","sustainabilityScore","crowdPressureAvoided","localImpactEuro","rating","wouldRecommend","travelDate"
"PF93695048","55-64","Germany","low","family","village","quiet","moderate","weekend-getaway","1","Spring","Oia","Kythera Trails","Kythera Trails","Palaiochora Gorge","5.4","low","high","1","74","35","49","4.2","1","2026-03-20"
"PF40775049","55-64","Germany","medium","solo","village","peaceful","expert","nature-immersion","1","Summer","Oia","Zagori / Vikos Gorge","Prespes","Pyli to Daseri","8.300000000000001","low","medium","0","71","77","95","4.3","1","2025-06-30"
"PF23022050","65+","France","medium","couple","village","authentic","easy","weekend-getaway","1","Winter","Mykonos","Menalon Trail","Menalon Trail","Elati to Vytina","1.7","low","medium","0","77","46","241","4.5","1","2025-01-10"
"PF82641051","25-34","UK","medium","solo","village","authentic","easy","slow-travel","1","Spring","Mykonos","Tzoumerka","Tzoumerka","Katarraktis Waterfalls","1.9","low","medium","0","95","60","190","4.2","1","2025-04-28"
"PF26614052","45-54","USA","medium","family","coast","quiet","easy","slow-travel","1","Spring","Mykonos","Serifos","Serifos","Kallitsos Route","1.7","low","medium","0","97","81","149","4.6","1","2026-03-18"
"PF68138053","18-24","Germany","medium","solo","island","remote","easy","weekend-getaway","1","Summer","Athens Center","Poros Trails","Poros Trails","Dana Lighthouse Route","4.1","medium","low","0","98","57","150","4.3","1","2025-06-22"
"PF69441054","25-34","Italy","medium","solo","island","adventurous","expert","adventure","1","Spring","Navagio Beach","Prespes","Prespes","Agios Achilleios Loop","5.8","medium","low","0","81","46","182","3.9","0","2025-03-06"
"PF97207055","55-64","France","low","couple","island","authentic","easy","weekend-getaway","1","Summer","Meteora","Prespes","Prespes","Pyli to Daseri","2.6","medium","low","1","81","44","235","4.1","1","2025-06-20"
"PF83526056","65+","Greece","medium","couple","island","peaceful","moderate","weekend-getaway","1","Winter","Santorini","Prespes","Menalon Trail","Stemnitsa to Dimitsana","5.2","medium","medium","1","72","48","229","4.6","1","2024-12-02"
"PF79531057","25-34","France","medium","couple","coast","peaceful","expert","slow-travel","1","Winter","Mykonos","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","7","low","medium","1","83","64","95","4.7","1","2025-02-25"
"PF24534058","25-34","Italy","high","solo","island","adventurous","hard","nature-immersion","1","Spring","Oia","Tzoumerka","Tzoumerka","Pramanta Refuge Trail","6.4","medium","high","1","70","93","231","4.3","1","2025-03-13"
"PF40161059","35-44","Greece","low","friends","forest","quiet","moderate","slow-travel","1","Winter","Athens Center","Apollo Trails","Apollo Trails","Temple of Epicurius Apollo Walk","3.8","medium","high","0","80","51","245","4.9","1","2026-02-15"
"PF57428060","18-24","Greece","high","friends","island","cinematic","expert","nature-immersion","1","Spring","Corfu Old Town","Tzoumerka","Tzoumerka","Pramanta Refuge Trail","7.4","medium","low","1","86","54","238","4.2","1","2025-04-01"
"PF29194061","25-34","Germany","high","solo","village","cinematic","expert","nature-immersion","1","Winter","Athens Center","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Voidomatis River Path","8.5","low","medium","0","97","70","78","4.3","1","2026-02-24"
"PF49691062","45-54","USA","low","family","coast","authentic","easy","slow-travel","1","Spring","Corfu Old Town","Prespes","Prespes","Pyli to Daseri","2.8","low","low","1","90","54","122","4.5","1","2026-03-29"
"PF18109063","35-44","Greece","high","couple","coast","quiet","hard","adventure","1","Autumn","Santorini","Tzoumerka","Prespes","Psarades Cape Trail","8.300000000000001","low","medium","1","83","73","213","4.5","1","2025-10-09"
"PF22387064","35-44","France","high","friends","island","authentic","expert","adventure","1","Spring","Meteora","Zagori / Vikos Gorge","Prespes","Pyli to Daseri","7.6","medium","high","1","79","78","204","4.7","1","2025-03-11"
"PF99838065","55-64","Germany","low","couple","island","peaceful","easy","weekend-getaway","1","Spring","Mykonos","Menalon Trail","Prespes","Psarades Cape Trail","2","medium","medium","0","97","42","169","4.7","1","2026-04-24"
"PF54140066","55-64","USA","low","couple","coast","peaceful","moderate","adventure","0","Winter","Navagio Beach","Menalon Trail","Menalon Trail","Elati to Vytina","5.8","low","medium","0","77","60","119","5","1","2026-02-24"
"PF35430067","25-34","Austria","high","solo","island","wild","hard","nature-immersion","1","Spring","Oia","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Voidomatis River Path","5.7","medium","medium","0","97","77","181","4.9","1","2026-04-13"
"PF47363068","18-24","Germany","high","couple","coast","remote","expert","slow-travel","1","Autumn","Mykonos","Menalon Trail","Tzoumerka","Katarraktis Waterfalls","6.6","low","medium","0","72","77","97","3.8","1","2025-10-10"
"PF28035069","18-24","Austria","high","couple","river","adventurous","expert","nature-immersion","1","Summer","Athens Center","Apollo Trails","Apollo Trails","Mount Lykaion Ascent","8.300000000000001","medium","low","0","86","84","68","4.7","1","2025-07-02"
"PF16258070","25-34","USA","medium","couple","village","remote","moderate","nature-immersion","1","Spring","Oia","Prespes","Prespes","Psarades Cape Trail","4.4","low","high","0","89","75","101","4.5","1","2025-05-11"
"PF21221071","35-44","France","medium","family","coast","authentic","easy","slow-travel","1","Autumn","Athens Center","Prespes","Tzoumerka","Katarraktis Waterfalls","2.5","low","low","1","91","43","237","4.5","1","2025-10-07"
"PF56176072","35-44","Greece","medium","family","island","authentic","moderate","nature-immersion","1","Spring","Navagio Beach","Prespes","Prespes","Pyli to Daseri","4.1","medium","high","1","98","35","120","4.9","1","2026-04-12"
"PF81176073","35-44","Germany","medium","friends","village","peaceful","expert","slow-travel","0","Autumn","Meteora","Prespes","Prespes","Pyli to Daseri","8.199999999999999","low","medium","1","80","53","167","4.6","1","2025-11-12"
"PF78062074","25-34","Germany","high","couple","coast","adventurous","hard","adventure","1","Autumn","Oia","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","7.3","low","medium","1","75","86","129","4.3","1","2025-10-28"
"PF67008075","25-34","Sweden","medium","friends","island","wild","expert","weekend-getaway","1","Winter","Oia","Menalon Trail","Menalon Trail","Stemnitsa to Dimitsana","5.6","medium","high","0","77","76","132","4.3","1","2024-12-04"
"PF99006076","25-34","France","medium","solo","island","adventurous","moderate","weekend-getaway","1","Winter","Athens Center","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Vikos Gorge Crossing","5","medium","medium","1","87","45","107","4.7","1","2026-01-31"
"PF90199077","25-34","Austria","medium","couple","village","adventurous","hard","nature-immersion","1","Spring","Mykonos","Menalon Trail","Zagori / Vikos Gorge","Papigo Pools Route","7.6","low","low","0","87","67","116","4.8","1","2025-04-28"
"PF76683078","25-34","Sweden","medium","friends","island","remote","easy","weekend-getaway","1","Winter","Oia","Menalon Trail","Menalon Trail","Lagkadia Route","1.7","medium","medium","0","92","91","174","4.3","1","2025-12-25"
"PF19666079","18-24","UK","high","friends","coast","cinematic","expert","adventure","1","Spring","Corfu Old Town","Tzoumerka","Tzoumerka","Pramanta Refuge Trail","8.199999999999999","low","high","0","96","45","172","4","1","2025-04-18"
"PF39552080","25-34","Austria","high","solo","village","wild","moderate","weekend-getaway","1","Autumn","Mykonos","Tzoumerka","Tzoumerka","Kouiassa Path","5.3","low","low","0","74","51","208","4.5","1","2025-10-12"
"PF83874081","18-24","Switzerland","high","couple","coast","cinematic","expert","weekend-getaway","1","Winter","Navagio Beach","Prespes","Prespes","Agios Achilleios Loop","7.1","low","low","1","79","91","102","4.8","1","2025-12-21"
"PF19564082","35-44","Germany","medium","couple","coast","peaceful","moderate","adventure","1","Spring","Meteora","Tzoumerka","Tzoumerka","Syrrako to Kalarrytes","5.8","low","low","0","87","43","121","4.1","1","2025-03-06"
"PF42495083","18-24","Germany","high","friends","coast","wild","expert","adventure","1","Spring","Corfu Old Town","Tzoumerka","Tzoumerka","Pramanta Refuge Trail","6.9","low","medium","1","85","32","63","4.9","1","2026-04-02"
"PF41552084","25-34","France","high","couple","village","cinematic","hard","nature-immersion","1","Spring","Meteora","Tzoumerka","Tzoumerka","Syrrako to Kalarrytes","7.8","low","medium","0","71","81","53","4.5","1","2025-05-19"
"PF47827085","18-24","USA","medium","couple","island","authentic","moderate","slow-travel","1","Spring","Santorini","Zagori / Vikos Gorge","Prespes","Vrontero Cave Path","5.3","medium","medium","0","86","35","51","3.8","0","2026-03-01"
"PF29521086","35-44","USA","medium","couple","village","authentic","hard","weekend-getaway","1","Autumn","Oia","Menalon Trail","Menalon Trail","Valtesiniko Trail","6.9","low","high","1","81","72","212","3.9","0","2025-09-12"
"PF92478087","18-24","France","high","couple","island","wild","expert","adventure","1","Winter","Navagio Beach","Prespes","Prespes","Pyli to Daseri","6.2","medium","low","1","92","44","88","3.8","0","2026-01-03"
"PF36724088","25-34","Netherlands","high","couple","coast","peaceful","hard","slow-travel","1","Summer","Oia","Tzoumerka","Zagori / Vikos Gorge","Voidomatis River Path","8.4","low","medium","1","87","73","179","4.2","1","2025-07-29"
"PF35200089","65+","UK","medium","family","coast","quiet","moderate","weekend-getaway","1","Spring","Navagio Beach","Menalon Trail","Menalon Trail","Valtesiniko Trail","4.4","low","low","1","91","78","141","4.8","1","2025-03-30"
"PF47700090","65+","Germany","medium","solo","island","authentic","moderate","adventure","1","Winter","Mykonos","Prespes","Zagori / Vikos Gorge","Beloi Viewpoint Trail","4.2","medium","low","0","98","58","203","4.1","1","2025-02-11"
"PF71918091","18-24","Netherlands","high","couple","coast","cinematic","hard","nature-immersion","0","Winter","Navagio Beach","Prespes","Prespes","Psarades Cape Trail","6.4","low","high","0","94","41","206","4.5","1","2024-12-09"
"PF32946092","25-34","Greece","medium","couple","village","wild","easy","nature-immersion","1","Spring","Mykonos","Prespes","Kythera Trails","Moudari Lighthouse Route","4.3","low","medium","0","79","88","204","4.5","1","2026-03-21"
"PF27589093","55-64","France","low","couple","coast","quiet","easy","nature-immersion","1","Winter","Navagio Beach","Prespes","Prespes","Vrontero Cave Path","2","low","low","1","98","81","149","4.4","1","2025-01-28"
"PF22502094","25-34","Germany","medium","solo","gorge","adventurous","hard","adventure","1","Winter","Athens Center","Apollo Trails","Apollo Trails","Neda Waterfalls Path","7.6","high","high","0","91","45","159","4.2","1","2025-12-21"
"PF50760095","35-44","USA","medium","couple","village","spiritual","moderate","adventure","1","Autumn","Athens Center","Prespes","Prespes","Pyli to Daseri","5.8","low","low","1","94","40","174","4.3","1","2025-11-06"
"PF83946096","18-24","Greece","medium","friends","village","wild","expert","adventure","1","Winter","Meteora","Tzoumerka","Tzoumerka","Pramanta Refuge Trail","5.8","low","low","0","84","37","156","4","1","2025-12-31"
"PF17567097","35-44","Italy","low","couple","village","peaceful","easy","slow-travel","1","Spring","Oia","Menalon Trail","Menalon Trail","Stemnitsa to Dimitsana","4.3","low","high","1","85","34","113","4.3","1","2025-03-19"
"PF94656098","65+","France","low","family","island","authentic","easy","nature-immersion","1","Autumn","Athens Center","Prespes","Menalon Trail","Nymfasia to Magouliana","4.5","medium","medium","1","86","46","226","5","1","2024-11-04"
"PF49107099","35-44","Italy","medium","couple","village","peaceful","expert","nature-immersion","1","Winter","Meteora","Prespes","Zagori / Vikos Gorge","Vikos Gorge Crossing","7.3","low","high","1","77","56","57","3.9","1","2026-02-01"
"PF16380100","25-34","Germany","high","couple","island","authentic","hard","slow-travel","1","Winter","Meteora","Tzoumerka","Tzoumerka","Syrrako to Kalarrytes","8.1","medium","low","1","86","58","145","4.2","1","2025-01-02"
"PF87550101","55-64","Austria","low","couple","island","peaceful","moderate","weekend-getaway","1","Spring","Navagio Beach","Menalon Trail","Menalon Trail","Valtesiniko Trail","4.6","medium","low","0","85","60","97","4.2","1","2025-03-28"
"PF17552102","35-44","Canada","low","couple","river","peaceful","easy","adventure","1","Summer","Meteora","Pertouli Trails","Pertouli Trails","Koziakas Refuge Path","2.3","medium","low","0","89","35","58","4","1","2025-06-11"
"PF53642103","25-34","Switzerland","medium","couple","village","cinematic","hard","nature-immersion","1","Spring","Mykonos","Menalon Trail","Menalon Trail","Elati to Vytina","7.8","low","medium","0","84","75","118","4.1","1","2026-04-10"
"PF71080104","18-24","Sweden","high","couple","coast","adventurous","expert","weekend-getaway","1","Autumn","Meteora","Zagori / Vikos Gorge","Menalon Trail","Stemnitsa to Dimitsana","8.300000000000001","low","low","0","93","83","115","4","1","2025-10-04"
"PF84683105","45-54","France","medium","couple","island","peaceful","moderate","nature-immersion","1","Winter","Navagio Beach","Menalon Trail","Menalon Trail","Nymfasia to Magouliana","5.7","medium","medium","0","75","37","174","3.8","1","2024-12-20"
"PF64053106","18-24","USA","medium","solo","island","cinematic","expert","nature-immersion","1","Autumn","Meteora","Prespes","Prespes","Agios Achilleios Loop","5.5","medium","low","1","93","65","177","5","1","2024-11-18"
"PF98346107","25-34","Austria","high","friends","coast","cinematic","moderate","adventure","1","Winter","Mykonos","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","4.6","low","medium","0","84","61","218","4.1","1","2025-01-22"
"PF95182108","45-54","Germany","medium","couple","village","peaceful","easy","slow-travel","1","Spring","Santorini","Prespes","Prespes","Vrontero Cave Path","4.2","low","high","0","77","57","217","4.9","1","2026-03-02"
"PF19744109","35-44","UK","medium","couple","island","peaceful","hard","weekend-getaway","1","Autumn","Santorini","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Dragon Lake Hike","6","medium","high","0","88","79","213","4.9","1","2025-10-06"
"PF28343110","45-54","Italy","medium","couple","village","quiet","hard","slow-travel","1","Autumn","Corfu Old Town","Zagori / Vikos Gorge","Menalon Trail","Stemnitsa to Dimitsana","7.9","low","medium","1","85","59","131","4.5","1","2025-11-20"
"PF99088111","35-44","France","medium","couple","coast","authentic","easy","slow-travel","1","Spring","Mykonos","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","1.8","low","medium","0","84","76","234","4.1","1","2025-03-16"
"PF66489112","25-34","USA","medium","friends","coast","quiet","easy","slow-travel","1","Autumn","Corfu Old Town","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Dragon Lake Hike","3.7","low","low","1","98","61","186","4.4","1","2025-11-25"
"PF45247113","25-34","France","high","friends","village","cinematic","moderate","nature-immersion","1","Autumn","Corfu Old Town","Zagori / Vikos Gorge","Tzoumerka","Kouiassa Path","4.9","low","high","1","79","30","141","4.2","1","2025-11-25"
"PF53193114","25-34","France","high","friends","island","wild","hard","weekend-getaway","1","Autumn","Meteora","Menalon Trail","Menalon Trail","Nymfasia to Magouliana","8.4","medium","medium","0","93","92","187","4.7","1","2025-09-30"
"PF61502115","25-34","Austria","high","solo","village","remote","moderate","slow-travel","1","Summer","Athens Center","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","6","low","medium","0","91","93","75","4.6","1","2025-07-06"
"PF30203116","45-54","Netherlands","high","family","village","authentic","easy","nature-immersion","1","Winter","Oia","Tzoumerka","Tzoumerka","Syrrako to Kalarrytes","1.8","low","high","0","91","75","82","4.6","1","2024-12-16"
"PF94545117","35-44","France","high","family","island","authentic","moderate","slow-travel","1","Autumn","Mykonos","Tzoumerka","Tzoumerka","Kouiassa Path","4.6","medium","medium","0","94","94","78","4.2","1","2024-11-26"
"PF48722118","25-34","Canada","high","solo","coast","cinematic","moderate","weekend-getaway","1","Winter","Meteora","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","4.8","low","low","0","84","70","57","4.2","1","2025-02-26"
"PF54967119","35-44","Italy","high","couple","island","authentic","hard","adventure","1","Winter","Oia","Tzoumerka","Tzoumerka","Matsouki Trail","7.4","medium","high","1","90","85","141","3.8","1","2026-02-04"
"PF60965120","18-24","UK","high","couple","coast","peaceful","expert","slow-travel","1","Winter","Oia","Tzoumerka","Tzoumerka","Katarraktis Waterfalls","8.1","low","low","1","90","70","192","4.3","1","2025-12-07"
"PF55603121","25-34","France","high","couple","village","quiet","moderate","slow-travel","1","Spring","Meteora","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","5","low","medium","1","89","47","187","4.3","1","2025-05-10"
"PF80435122","35-44","USA","medium","family","island","spiritual","moderate","adventure","1","Spring","Mykonos","Menalon Trail","Menalon Trail","Nymfasia to Magouliana","3.9","medium","medium","1","87","94","207","4.4","1","2026-03-19"
"PF68176123","35-44","Germany","medium","couple","village","authentic","expert","weekend-getaway","1","Autumn","Mykonos","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Voidomatis River Path","7.1","low","high","0","88","44","108","4.7","1","2025-11-11"
"PF15453124","45-54","France","medium","family","mountain","authentic","moderate","adventure","1","Autumn","Meteora","Pertouli Trails","Pertouli Trails","Pertouli Meadows Trail","6.1","high","high","0","94","60","93","4.8","1","2025-10-26"
"PF89988125","35-44","Germany","medium","couple","coast","quiet","hard","slow-travel","0","Winter","Oia","Prespes","Prespes","Vrontero Cave Path","8.4","low","low","1","98","42","74","5","1","2025-12-27"
